SCI  HE0515m4414_sci_580_03.fits                        UVES.2003-10-13T05:31:05.911.fits  0.7  2400.00 52925.22992953 12.7 742.9
WAV  thar_wav_580_03_01.fits                            UVES.2003-10-13T07:05:50.947.fits  0.7    21.43 52925.29572855 12.8 742.7
ORD  thar_ord_580_03_01.fits                            UVES.2003-10-13T10:54:35.804.fits  1.2     7.00 52925.45458107 13.0 743.2
FMT  thar_fmt_580_03_01.fits                            UVES.2003-10-13T10:46:23.489.fits  0.7    15.00 52925.44888297 13.0 743.3
FLAT flat_cal_580_03_01.fits                            UVES.2003-10-13T10:57:50.824.fits  0.7    11.76 52925.45683824 13.0 743.2
FLAT flat_cal_580_03_02.fits                            UVES.2003-10-13T10:58:58.273.fits  0.7    11.76 52925.45761890 13.0 743.3
FLAT flat_cal_580_03_03.fits                            UVES.2003-10-13T11:00:05.195.fits  0.7    11.76 52925.45839346 13.0 743.3
FLAT flat_cal_580_03_04.fits                            UVES.2003-10-13T11:01:12.449.fits  0.7    11.76 52925.45917186 13.0 743.3
FLAT flat_cal_580_03_05.fits                            UVES.2003-10-13T11:02:19.503.fits  0.7    11.76 52925.45994795 13.0 743.4
BIAS bias_cal_580_03_01.fits                            UVES.2003-10-13T10:13:28.414.fits  0.0     0.63 52925.42602331  0.0   0.0
BIAS bias_cal_580_03_02.fits                            UVES.2003-10-13T10:14:15.882.fits  0.0     0.63 52925.42657271  0.0   0.0
BIAS bias_cal_580_03_03.fits                            UVES.2003-10-13T10:15:03.318.fits  0.0     0.63 52925.42712174  0.0   0.0
BIAS bias_cal_580_03_04.fits                            UVES.2003-10-13T10:15:50.786.fits  0.0     0.63 52925.42767113  0.0   0.0
BIAS bias_cal_580_03_05.fits                            UVES.2003-10-13T10:16:38.225.fits  0.0     0.63 52925.42822020  0.0   0.0
